smi,seed_smi,ori_smi,component,diameter,hash_distance,comp2
*NNC(=O)C1=CC=CC(C(F)(F)F)=C1,*NNC(=O)c1cccc(C(F)(F)F)c1,O=C(NNC(=O)c1cccc(C(F)(F)F)c1)c1ccncc1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,5.408,a4774e62d3b57a66b907818fc21b3a24,R6;
*NC(=O)C1=CC=C2C=CC=C(O)C2=N1,*NC(=O)c1ccc2cccc(O)c2n1,O=C(Nc1ccc(F)cc1)c1ccc2cccc(O)c2n1,Hydrophilic;Hydrophilic;R6_aro1_0;R6_aro1_1;,3.969,d1dbbce74da59e91ebac3b63f5723f02,R6;R6;
*C1=NNC(C2(O)CCCCC2)=N1,*c1n[nH]c(C2(O)CCCCC2)n1,Oc1ccc(-c2n[nH]c(C3(O)CCCCC3)n2)cc1,R5_aro1_3;R6_aro0_0;,4.042,15e7e86a3bc995a69b5028bcf911e276,R5;R6;
*CNc1cc(F)cc(C(C)(F)F)c1,*C(*)Nc1cc(F)cc(C(C)(F)F)c1,CC(F)(F)c1cc(F)cc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)c(F)c2)c1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*NNC(=O)C1=CC=CC=C1Cl,*NNC(=O)c1ccccc1Cl,CCOC(=O)c1c(C)[nH]c(NC(=O)NNC(=O)c2ccccc2Cl)c1C,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,5.408,a4774e62d3b57a66b907818fc21b3a24,R6;
*CNc1cc(C)cc(C)c1,*C(*)Nc1cc(C)cc(C)c1,CCc1c(C(=O)Nc2cc(C)cc(C)c2)[nH]c(C)c1C(C)=O,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNc1cc(C(F)(F)F)ccc1Cl,*C(*)Nc1cc(C(F)(F)F)ccc1Cl,O=C(NCc1cccnc1N1CCOCC1)Nc1cc(C(F)(F)F)ccc1Cl,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CCc1ccccc1F,*C(*)Cc1ccccc1F,N#Cc1c[nH]c(C(=O)NC[C@@H](CO)Cc2ccccc2F)c1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNc1cc(C)ccc1C,*C(*)Nc1cc(C)ccc1C,Cc1ccc(C)c(NC(=O)NC(=O)CCl)c1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNC(=O)C1CC(O)C[NH2+]1,*C(*)NC(=O)C1CC(O)C[NH2+]1,O=C([O-])[C@H](CO)NC(=O)[C@@H]1C[C@@H](O)C[NH2+]1,Hydrophilic;Hydrophilic;R5_aro0_1;,3.758,0aabacc70cf9c7964d005f531ad4831a,R5;
*C(O)C1=NC=C(C2=CC=CC=C2C)N1,*C(O)c1ncc(-c2ccccc2C)[nH]1,Cc1ccccc1-c1cnc([C@@H](O)c2ccc(Cl)c(F)c2)[nH]1,R5_aro1_2;R6_aro1_0;,4.276,a987486a3c4544dfa779e59a935ab255,R5;R6;
*CNCC1([NH3+])CCCCC1,*C(*)NCC1([NH3+])CCCCC1,COc1ccc2[nH]c(C(=O)NCC3([NH3+])CCCCC3)cc2c1,Hydrophilic;Hydrophilic;R6_aro0_0;,4.084,27775c007f8a896d9a1162af3f3660b5,R6;
*CNN=C1Nc2cccc3cccc1c23,*C(*)NN=C1Nc2cccc3cccc1c23,NC(=O)N/N=C1\Nc2cccc3cccc1c23,Hydrophilic;Hydrophilic;R5_aro0_1;R6_aro1_0;R6_aro1_0;,3.758,ebe008873a723bae62f5d0ce3beab96a,R5;R6;R6;
*CNC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,*C(*)NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,NS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2ccc(O)c(O)c2)C(=O)[O-])ccc1Cl,Hydrophilic;Hydrophilic;Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,4.5,3b4103010fc79a53cc17de97fe56cb1d,R6;
*NC1=C(NC2=CC(C)=CC=C2O)C(=O)C1=O,*Nc1c(Nc2cc(C)ccc2O)c(=O)c1=O,Cc1ccc(O)c(Nc2c(Nc3ccccc3)c(=O)c2=O)c1,Hydrophilic;Hydrophilic;Hydrophilic;Hydrophilic;R34_aro1_0;R6_aro1_0;,4.821,6cd2435c0b16c76fcfccaa7086a81600,R34;R6;
*N=C1C=C2NC(C3=CC=CC(C(F)(F)F)=C3)=NC2=CN1,*N=c1cc2[nH]c(-c3cccc(C(F)(F)F)c3)nc2c[nH]1,O=C([O-])c1cc[nH+]c(/N=c2/cc3[nH]c(-c4cccc(C(F)(F)F)c4)nc3c[nH]2)c1,Hydrophilic;R5_aro1_2;R6_aro1_0;R6_aro1_1;,5.153,bd87fe6590670a39fa814b54536e2c05,R5;R6;R6;
*CCC1CC2CCC1C2,*C(*)CC1CC2CCC1C2,O=C(C[C@H]1C[C@@H]2CC[C@H]1C2)Nc1ccc[n+]([O-])c1,R5_aro0_0;R5_aro0_0;,1.141,393e3feec9f653df2b57ad183dc704a8,R5;R5;
*NN=C(C)C1=CC=CC=C1,*NN=C(C)c1ccccc1,CCOc1ccc(NCC(=O)N/N=C(/C)c2ccccc2)cc1,Hydrophilic;Hydrophilic;R6_aro1_0;,5.408,84b6abffc38d02937536801a9cec433d,R6;
*CNc1c(C(C)=O)[nH]c2ccccc12,*C(*)Nc1c(C(C)=O)[nH]c2ccccc12,CC(=O)c1[nH]c2ccccc2c1NC(=O)C(=O)Nc1ccncc1,Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;,3.758,206c547b01ccf80e4476df0ae1da81ca,R5;R6;
*CS(=O)(=O)Nc1ccc(F)cc1,*C(*)S(=O)(=O)Nc1ccc(F)cc1,O=C([O-])COc1ccc(C[C@H](c2nc3ccccc3[nH]2)S(=O)(=O)Nc2ccc(F)cc2)cc1O,Hydrophilic;Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,5.079,94a288cabb03d0d0cf47b84bcbf5096f,R6;
*CNC(=O)C1CCC[NH2+]1,*C(*)NC(=O)C1CCC[NH2+]1,O=C([O-])[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCC[NH2+]1,Hydrophilic;Hydrophilic;R5_aro0_1;,3.758,0aabacc70cf9c7964d005f531ad4831a,R5;
*CNc1cccc(CC)c1,*CCc1cccc(NC(*)*)c1,O=C(Nc1cccc(CCO)c1)c1cc2cc(Cl)ccc2[nH]1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CCc1cccc(NC)c1,*CCc1cccc(NC(*)*)c1,O=C(Nc1cccc(CCO)c1)c1cc2cc(Cl)ccc2[nH]1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNN=C1CC2CCC1(C)C2(C)C,*C(*)NN=C1CC2CCC1(C)C2(C)C,COc1cccc(NC(=S)N/N=C2\C[C@@H]3CC[C@@]2(C)C3(C)C)c1,Hydrophilic;Hydrophilic;R5_aro0_0;R5_aro0_0;,3.42,5a85caba900cdf68540b3687e7f67b6e,R5;R5;
